filepaths,Font
./Font/Font/Sample060/img060-00761.png,x
./Font/Font/Sample060/img060-00103.png,x
./Font/Font/Sample060/img060-00344.png,x
./Font/Font/Sample060/img060-00049.png,x
./Font/Font/Sample060/img060-00421.png,x
./Font/Font/Sample060/img060-00895.png,x
./Font/Font/Sample060/img060-00401.png,x
./Font/Font/Sample060/img060-00803.png,x
./Font/Font/Sample060/img060-00652.png,x
./Font/Font/Sample060/img060-00625.png,x
./Font/Font/Sample060/img060-00883.png,x
./Font/Font/Sample060/img060-00551.png,x
./Font/Font/Sample060/img060-00741.png,x
./Font/Font/Sample060/img060-00308.png,x
./Font/Font/Sample060/img060-00372.png,x
./Font/Font/Sample060/img060-00635.png,x
./Font/Font/Sample060/img060-00837.png,x
./Font/Font/Sample060/img060-00510.png,x
./Font/Font/Sample060/img060-00742.png,x
./Font/Font/Sample060/img060-00756.png,x
./Font/Font/Sample060/img060-00948.png,x
./Font/Font/Sample060/img060-00466.png,x
./Font/Font/Sample060/img060-00424.png,x
./Font/Font/Sample060/img060-00104.png,x
./Font/Font/Sample060/img060-00632.png,x
./Font/Font/Sample060/img060-00202.png,x
./Font/Font/Sample060/img060-00455.png,x
./Font/Font/Sample060/img060-00290.png,x
./Font/Font/Sample060/img060-00273.png,x
./Font/Font/Sample060/img060-00871.png,x
./Font/Font/Sample060/img060-01003.png,x
./Font/Font/Sample060/img060-01009.png,x
./Font/Font/Sample060/img060-00995.png,x
./Font/Font/Sample060/img060-00757.png,x
./Font/Font/Sample060/img060-00047.png,x
./Font/Font/Sample060/img060-00543.png,x
./Font/Font/Sample060/img060-00457.png,x
./Font/Font/Sample060/img060-00233.png,x
./Font/Font/Sample060/img060-00771.png,x
./Font/Font/Sample060/img060-01010.png,x
./Font/Font/Sample060/img060-00508.png,x
./Font/Font/Sample060/img060-00953.png,x
./Font/Font/Sample060/img060-00520.png,x
./Font/Font/Sample060/img060-00611.png,x
./Font/Font/Sample060/img060-00263.png,x
./Font/Font/Sample060/img060-00240.png,x
./Font/Font/Sample060/img060-00279.png,x
./Font/Font/Sample060/img060-01002.png,x
./Font/Font/Sample060/img060-00687.png,x
./Font/Font/Sample060/img060-00281.png,x
./Font/Font/Sample060/img060-00591.png,x
./Font/Font/Sample060/img060-00738.png,x
./Font/Font/Sample060/img060-00232.png,x
./Font/Font/Sample060/img060-00189.png,x
./Font/Font/Sample060/img060-00057.png,x
./Font/Font/Sample060/img060-00383.png,x
./Font/Font/Sample060/img060-00170.png,x
./Font/Font/Sample060/img060-00002.png,x
./Font/Font/Sample060/img060-00855.png,x
./Font/Font/Sample060/img060-00750.png,x
./Font/Font/Sample060/img060-00828.png,x
./Font/Font/Sample060/img060-00833.png,x
./Font/Font/Sample060/img060-00017.png,x
